short_name,long_name,nationality_name,overall,age,player_positions,club_name,cluster,cluster_name,pace,shooting,passing,dribbling,defending,physic
J. Bellingham,Jude Victor William Bellingham,England,90,22,"CAM, CM",Real Madrid,2,Deep Playmaker,80.0,86.0,83.0,90.0,78.0,85.0
F. Valverde,Federico Santiago Valverde Dipetta,Uruguay,89,26,"CM, CDM, RB",Real Madrid,2,Deep Playmaker,88.0,84.0,84.0,84.0,83.0,85.0
J. Kimmich,Joshua Walter Kimmich,Germany,89,30,"CDM, RB, CM",FC Bayern München,2,Deep Playmaker,72.0,74.0,89.0,84.0,83.0,79.0
A. Hakimi,Achraf Hakimi Mouhأشرف حكيمي,Morocco,89,26,"RB, RM",Paris Saint-Germain,2,Deep Playmaker,92.0,79.0,82.0,83.0,82.0,79.0
H. Çalhanoğlu,Hakan Çalhanoğlu,Türkiye,86,31,"CDM, CM",Inter,2,Deep Playmaker,71.0,81.0,87.0,82.0,81.0,73.0
A. Mac Allister,Alexis Mac Allister,Argentina,87,26,"CM, CDM",Liverpool,2,Deep Playmaker,66.0,82.0,85.0,85.0,78.0,76.0
Rodri,Rodrigo Hernández Cascante,Spain,90,29,"CDM, CM",Manchester City,2,Deep Playmaker,65.0,80.0,86.0,84.0,86.0,85.0
A. Griezmann,Antoine Griezmann,France,85,34,"ST, LM, CAM",Atlético Madrid,4,Pacey Dribbler II,77.0,86.0,85.0,88.0,59.0,73.0
T. Hernández,Theo Bernard François Hernández,France,84,27,"LB, LM",Al Hilal,2,Deep Playmaker,90.0,76.0,78.0,83.0,79.0,83.0
Bruno Fernandes,Bruno Miguel Borges Fernandes,Portugal,87,30,"CAM, CM",Manchester United,2,Deep Playmaker,67.0,83.0,89.0,83.0,65.0,75.0
J. Alvarez,Julián Álvarez,Argentina,87,25,ST,Atlético Madrid,4,Pacey Dribbler II,85.0,87.0,81.0,87.0,57.0,79.0
T. Alexander-Arnold,Trent John Alexander-Arnold,England,86,26,"RB, RM",Real Madrid,2,Deep Playmaker,76.0,72.0,89.0,80.0,80.0,74.0
Sancet,Oihan Sancet Tirapu,Spain,84,25,"CAM, CM, ST",Athletic Club,2,Deep Playmaker,76.0,83.0,80.0,85.0,70.0,82.0
A. Rabiot,Adrien Rabiot-Provost,France,83,30,"CAM, CM",AC Milan,2,Deep Playmaker,81.0,79.0,81.0,80.0,77.0,84.0
R. De Paul,Rodrigo Javier de Paul,Argentina,84,31,"CM, CDM, CAM",Inter Miami,2,Deep Playmaker,75.0,78.0,83.0,83.0,76.0,83.0
Marcos Llorente,Marcos Llorente Moreno,Spain,84,30,"RB, CM, RM",Atlético Madrid,2,Deep Playmaker,89.0,79.0,78.0,81.0,78.0,82.0
